periodo,ano,mes,estado,regiao,bioma,cidade,precipitacao_mm_total,precipitacao_dias_sem_chuva,temp_max_media,temp_min_media,registros_diarios,media_hist_mm,anomalia_pct,evento_climatico
202208,2022,8,AL,Nordeste,Mata Atlântica,Maceió,297.6,0,25.493548387096773,22.148387096774197,31,123.98181818181818,140.04,enchente_severa
202209,2022,9,AL,Nordeste,Mata Atlântica,Maceió,75.2,2,26.28333333333333,22.473333333333336,30,79.89090909090909,-5.87,normal
202210,2022,10,AL,Nordeste,Mata Atlântica,Maceió,81.8,2,27.41935483870968,23.43870967741936,31,53.16363636363636,53.86,chuva_intensa
202211,2022,11,AL,Nordeste,Mata Atlântica,Maceió,203.2,1,27.8,23.62,30,54.25454545454545,274.53,enchente_severa
202212,2022,12,AL,Nordeste,Mata Atlântica,Maceió,74.0,4,28.225806451612904,23.63225806451613,31,57.2,29.37,normal
202301,2023,1,AL,Nordeste,Mata Atlântica,Maceió,73.8,1,28.27741935483871,23.83870967741936,31,67.04166666666667,10.08,normal
202302,2023,2,AL,Nordeste,Mata Atlântica,Maceió,60.5,0,28.717857142857145,24.825,28,66.83333333333333,-9.48,normal
202303,2023,3,AL,Nordeste,Mata Atlântica,Maceió,150.6,0,28.506451612903227,24.50967741935484,31,122.56666666666666,22.87,normal
202304,2023,4,AL,Nordeste,Mata Atlântica,Maceió,114.1,3,28.166666666666668,24.273333333333333,30,110.84166666666665,2.94,normal
202305,2023,5,AL,Nordeste,Mata Atlântica,Maceió,209.4,0,27.53548387096774,24.161290322580644,31,211.17499999999998,-0.84,normal
202306,2023,6,AL,Nordeste,Mata Atlântica,Maceió,223.1,0,26.40333333333333,23.55333333333333,30,185.45000000000002,20.3,normal
202307,2023,7,AL,Nordeste,Mata Atlântica,Maceió,149.1,1,26.04516129032258,22.532258064516128,31,157.39090909090908,-5.27,normal
202308,2023,8,AL,Nordeste,Mata Atlântica,Maceió,104.8,0,26.58709677419355,22.68387096774193,31,123.98181818181818,-15.47,normal
202309,2023,9,AL,Nordeste,Mata Atlântica,Maceió,91.7,2,26.96,23.0,30,79.89090909090909,14.78,normal
