periodo,ano,mes,id_categoria,categoria,codigo,nome,unidade,valor
199709,1997,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.06
199710,1997,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.23
199711,1997,11,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.17
199712,1997,12,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.43
199801,1998,1,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.71
199802,1998,2,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.46
199803,1998,3,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.34
199804,1998,4,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.24
199805,1998,5,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.5
199806,1998,6,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.02
199807,1998,7,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,-0.12
199808,1998,8,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,-0.51
199809,1998,9,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,-0.22
199810,1998,10,ipca_geral,Índice Geral,PRECOS12_IPCAG12,IPCA - Variação mensal - Geral,%,0.02
