periodo,ano,mes,estado,cidade,precipitacao_total_mm,precip_max_dia_mm,dias_com_chuva,dias_extremo_leve,dias_extremo_moderado,dias_extremo_severo,dias_consecutivos_max,indice_enchente,risco_enchente
202401,2024,1,PR,Londrina,123.3,27.0,14,0,0,0,7,17.5,ALTO
202402,2024,2,PR,Curitiba,124.7,19.3,23,0,0,0,17,42.5,CRITICO
202402,2024,2,PR,Londrina,125.3,30.4,17,1,0,0,13,37.5,CRITICO
202403,2024,3,PR,Curitiba,105.2,21.9,17,0,0,0,7,17.5,ALTO
202403,2024,3,PR,Londrina,70.2,20.3,13,0,0,0,5,12.5,ALTO
202404,2024,4,PR,Curitiba,87.8,22.1,12,0,0,0,4,10.0,ALTO
202404,2024,4,PR,Londrina,128.9,51.9,8,2,1,0,5,32.5,CRITICO
202405,2024,5,PR,Curitiba,169.3,63.7,7,1,1,0,2,20.0,CRITICO
202405,2024,5,PR,Londrina,77.0,37.6,6,1,0,0,2,10.0,ALTO
202406,2024,6,PR,Curitiba,41.5,28.6,3,0,0,0,2,5.0,MODERADO
202406,2024,6,PR,Londrina,6.3,5.9,1,0,0,0,1,2.5,BAIXO
202407,2024,7,PR,Curitiba,135.4,26.3,11,0,0,0,10,25.0,CRITICO
202407,2024,7,PR,Londrina,83.1,27.1,6,0,0,0,4,10.0,ALTO
202408,2024,8,PR,Curitiba,61.2,30.3,4,1,0,0,2,10.0,ALTO
202408,2024,8,PR,Londrina,54.7,27.0,5,0,0,0,3,7.5,MODERADO
202409,2024,9,PR,Curitiba,111.2,29.4,9,0,0,0,4,10.0,ALTO
202409,2024,9,PR,Londrina,72.2,20.2,7,0,0,0,2,5.0,MODERADO
202410,2024,10,PR,Curitiba,121.9,25.6,14,0,0,0,5,12.5,ALTO
202410,2024,10,PR,Londrina,121.7,42.7,12,1,0,0,5,17.5,ALTO
202411,2024,11,PR,Curitiba,138.2,21.2,21,0,0,0,9,22.5,CRITICO
202411,2024,11,PR,Londrina,221.2,38.2,17,1,0,0,8,25.0,CRITICO
202412,2024,12,PR,Curitiba,292.7,56.6,23,4,2,0,8,60.0,CRITICO
202412,2024,12,PR,Londrina,259.2,46.1,19,2,0,0,5,22.5,CRITICO
201501,2015,1,RS,Caxias do Sul,328.4,52.3,21,4,1,0,15,67.5,CRITICO
201501,2015,1,RS,Lajeado,337.0,57.1,23,4,2,0,13,72.5,CRITICO
201501,2015,1,RS,Porto Alegre,215.7,47.6,17,2,0,0,5,22.5,CRITICO
201501,2015,1,RS,Santa Maria,320.8,55.1,21,3,1,0,12,55.0,CRITICO
201502,2015,2,RS,Caxias do Sul,156.8,19.7,22,0,0,0,11,27.5,CRITICO
201502,2015,2,RS,Lajeado,126.7,17.2,19,0,0,0,10,25.0,CRITICO
201502,2015,2,RS,Porto Alegre,96.1,23.5,12,0,0,0,6,15.0,ALTO
201502,2015,2,RS,Santa Maria,104.3,26.8,14,0,0,0,6,15.0,ALTO
201503,2015,3,RS,Caxias do Sul,123.0,23.3,12,0,0,0,3,7.5,MODERADO
201503,2015,3,RS,Lajeado,96.1,18.6,12,0,0,0,3,7.5,MODERADO
201503,2015,3,RS,Porto Alegre,83.8,32.4,10,1,0,0,3,12.5,ALTO
201503,2015,3,RS,Santa Maria,126.2,50.5,9,1,1,0,3,22.5,CRITICO
201504,2015,4,RS,Caxias do Sul,109.0,52.5,14,1,1,0,11,42.5,CRITICO
201504,2015,4,RS,Lajeado,88.2,31.7,10,1,0,0,5,17.5,ALTO
201504,2015,4,RS,Porto Alegre,39.0,11.3,7,0,0,0,2,5.0,MODERADO
201504,2015,4,RS,Santa Maria,76.6,31.7,6,1,0,0,2,10.0,ALTO
201505,2015,5,RS,Caxias do Sul,171.9,47.0,10,2,0,0,4,20.0,CRITICO
201505,2015,5,RS,Lajeado,157.0,49.0,12,1,0,0,6,20.0,CRITICO
201505,2015,5,RS,Porto Alegre,147.5,79.8,7,1,1,0,3,22.5,CRITICO
201505,2015,5,RS,Santa Maria,175.7,76.7,11,2,1,0,3,27.5,CRITICO
201506,2015,6,RS,Caxias do Sul,195.4,46.7,11,2,0,0,4,20.0,CRITICO
201506,2015,6,RS,Lajeado,207.7,60.1,12,1,1,0,4,25.0,CRITICO
201506,2015,6,RS,Porto Alegre,179.4,51.9,9,1,1,0,3,22.5,CRITICO
201506,2015,6,RS,Santa Maria,176.3,32.9,12,1,0,0,3,12.5,ALTO
201507,2015,7,RS,Caxias do Sul,250.5,44.3,13,3,0,0,4,25.0,CRITICO
201507,2015,7,RS,Lajeado,236.5,65.7,12,3,1,0,6,40.0,CRITICO
201507,2015,7,RS,Porto Alegre,192.3,59.8,12,1,1,0,4,25.0,CRITICO
201507,2015,7,RS,Santa Maria,158.5,71.0,9,1,1,0,4,25.0,CRITICO
201508,2015,8,RS,Caxias do Sul,88.8,15.1,12,0,0,0,3,7.5,MODERADO
201508,2015,8,RS,Lajeado,80.4,21.6,11,0,0,0,3,7.5,MODERADO
201508,2015,8,RS,Porto Alegre,81.2,18.8,10,0,0,0,3,7.5,MODERADO
201508,2015,8,RS,Santa Maria,92.7,18.5,10,0,0,0,4,10.0,ALTO
201509,2015,9,RS,Caxias do Sul,280.9,56.9,14,4,2,0,5,52.5,CRITICO
201509,2015,9,RS,Lajeado,220.9,56.2,13,3,1,0,6,40.0,CRITICO
201509,2015,9,RS,Porto Alegre,169.0,33.0,16,1,0,0,7,22.5,CRITICO
